title,FaunaType,Category,hyperlink,Genus,CommonName,EffectiveDate
Frogs that are Extinct,frogs,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1909,Rheobatrachus silus,Southern Gastric-brooding Frog,16-Jul-2000
Frogs that are Extinct,frogs,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1910,Rheobatrachus vitellinus,"Northern Gastric-brooding Frog, Eungella Gastric-brooding Frog",16-Jul-2000
Frogs that are Extinct,frogs,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1911,Taudactylus acutirostris,"Sharp-snouted Day Frog, Sharp-snouted Torrent Frog",16-Jul-2000
Frogs that are Extinct,frogs,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1886,Taudactylus diurnus,"Southern Day Frog, Mt Glorious Torrent Frog",16-Jul-2000
Birds that are Extinct,birds,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=25895,Aplonis fusca,Tasman Starling,16-Jul-2000
Birds that are Extinct,birds,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=25988,Columba vitiensis godmanae,"Lord Howe White-throated Pigeon, White-throated Pigeon (Lord Howe Island)",16-Jul-2000
Birds that are Extinct,birds,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26035,Cyanoramphus novaezelandiae erythrotis,"Macquarie Island Red-fronted Parakeet, Red-crowned Parakeet (Macquarie Island)",16-Jul-2000
Birds that are Extinct,birds,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26036,Cyanoramphus novaezelandiae subflavescens,"Lord Howe Tasman Parakeet, Red-crowned Parakeet (Lord Howe Island)",16-Jul-2000
Birds that are Extinct,birds,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=25972,Dasyornis broadbenti litoralis,"Rufous Bristlebird (western), South-western Rufous Bristlebird",16-Jul-2000
Birds that are Extinct,birds,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66724,Dromaius ater,King Island Emu,16-Jul-2000
Birds that are Extinct,birds,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26183,Dromaius baudinianus,Kangaroo Island Emu,16-Jul-2000
Birds that are Extinct,birds,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64437,Dromaius novaehollandiae diemenensis,"Tasmanian Emu, Emu (Tasmanian)",16-Jul-2000
Birds that are Extinct,birds,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=25888,Gerygone insularis,"Lord Howe Gerygone, Lord Howe Warbler",16-Jul-2000
Birds that are Extinct,birds,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=25989,Hemiphaga novaeseelandiae spadicea,"New Zealand Pigeon (Norfolk Island race), Norfolk Island New Zealand Pigeon",16-Jul-2000
Birds that are Extinct,birds,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=88995,Hypotaenidia philippensis macquariensis,"Macquarie Island Buff-banded Rail, Buff-banded Rail (Macquarie Island)",16-Jul-2000
Birds that are Extinct,birds,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=25985,Lalage leucopyga leucopyga,Norfolk Island Long-tailed Triller,16-Jul-2000
Birds that are Extinct,birds,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82446,Lewinia pectoralis clelandi,"Western Australian Lewin's Rail, Lewin's Rail (western)",16-Jul-2000
Birds that are Extinct,birds,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=25891,Nestor productus,Norfolk Island Kaka,16-Jul-2000
Birds that are Extinct,birds,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26043,Ninox novaeseelandiae albaria,"Lord Howe Southern Boobook, Lord Howe Boobook Owl",16-Jul-2000
Birds that are Extinct,birds,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66502,Porphyrio albus,White Gallinule,16-Jul-2000
Birds that are Extinct,birds,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=723,Psephotus pulcherrimus,Paradise Parrot,16-Jul-2000
Birds that are Extinct,birds,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=67106,Rhipidura fuliginosa cervina,"Lord Howe Grey Fantail, Grey Fantail (Lord Howe Island)",16-Jul-2000
Birds that are Extinct,birds,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26017,Turdus poliocephalus poliocephalus,"Grey-headed Blackbird, Norfolk Island Thrush",16-Jul-2000
Birds that are Extinct,birds,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=67123,Turdus poliocephalus vinitinctus,"Lord Howe Thrush, Vinous-tinted Thrush",16-Jul-2000
Birds that are Extinct,birds,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=25899,Zosterops albogularis,"White-chested White-eye, Norfolk Island Silvereye",16-Jul-2000
Birds that are Extinct,birds,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=25900,Zosterops strenuus,Robust White-eye,16-Jul-2000
Mammals that are Extinct,mammals,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66656,Bettongia gaimardi gaimardi,"Eastern Bettong (mainland), Eastern Rat-kangaroo",16-Jul-2000
Mammals that are Extinct,mammals,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66657,Bettongia lesueur graii,"Boodie (inland), Burrowing Bettong (inland)",16-Jul-2000
Mammals that are Extinct,mammals,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66658,Bettongia penicillata penicillata,"Brush-tailed Bettong (central and south-east), Brush-tailed Bettong (south-east mainland)",16-Jul-2000
Mammals that are Extinct,mammals,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=215,Caloprymnus campestris,Desert Rat-kangaroo,16-Jul-2000
Mammals that are Extinct,mammals,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=297,Chaeropus ecaudatus,"Pig-footed Bandicoot, Kanjilpa, Wilalya",16-Jul-2000
Mammals that are Extinct,mammals,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=131,Conilurus albipes,"White-footed Rabbit-rat, Parroo, White-footed Tree-rat",16-Jul-2000
Mammals that are Extinct,mammals,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=243,Lagorchestes asomatus,"Kuluwarri, Central Hare-wallaby",16-Jul-2000
Mammals that are Extinct,mammals,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66655,Lagorchestes hirsutus hirsutus,"Rufous Hare-wallaby (south-western), Woorap",16-Jul-2000
Mammals that are Extinct,mammals,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=246,Lagorchestes leporides,Eastern Hare-wallaby,16-Jul-2000
Mammals that are Extinct,mammals,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66654,Lagostrophus fasciatus albipilis,Banded Hare-wallaby (mainland),16-Jul-2000
Mammals that are Extinct,mammals,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=136,Leporillus apicalis,"Lesser Stick-nest Rat,Tjooyalpi, White-tailed Stick-nest Rat",16-Jul-2000
Mammals that are Extinct,mammals,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=283,Macrotis leucura,"Yallara, Lesser Bilby, Djoonpi",16-Jul-2000
Mammals that are Extinct,mammals,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64477,Melomys rubicola,Bramble Cay Melomys,22-Feb-2019
Mammals that are Extinct,mammals,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=89288,Notamacropus greyi,Toolache Wallaby,16-Jul-2000
Mammals that are Extinct,mammals,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=122,Notomys amplus,"Short-tailed Hopping-mouse, Yoontoo",16-Jul-2000
Mammals that are Extinct,mammals,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=126,Notomys longicaudatus,"Long-tailed Hopping-mouse, Koolawa, Talamba",16-Jul-2000
Mammals that are Extinct,mammals,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=101,Notomys macrotis,"Large-eared Hopping-mouse, Noompa, Big -eared Hopping-mouse",16-Jul-2000
Mammals that are Extinct,mammals,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=103,Notomys mordax,"Darling Downs Hopping-mouse, Payi",16-Jul-2000
Mammals that are Extinct,mammals,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66869,Nyctophilus howensis,"Lord Howe Long-eared Bat, Lord Howe Island Bat",04-Apr-2001
Mammals that are Extinct,mammals,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=240,Onychogalea lunata,"Crescent Nailtail Wallaby, Tjawalpa, Wurrung",16-Jul-2000
Mammals that are Extinct,mammals,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66652,Perameles bougainville fasciata,"Western Barred Bandicoot (eastern), Liverpool Plains Striped Bandicoot",16-Jul-2000
Mammals that are Extinct,mammals,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=279,Perameles eremiana,"Desert Bandicoot, Walilya",16-Jul-2000
Mammals that are Extinct,mammals,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=195,Potorous platyops,"Broad-faced Potoroo, Moda",16-Jul-2000
Mammals that are Extinct,mammals,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=89,Pseudomys gouldii,"Gould's Mouse, Koontin",16-Jul-2000
Mammals that are Extinct,mammals,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=25904,Rattus macleari,"Maclear's Rat, Christmas Island Rat",16-Jul-2000
Mammals that are Extinct,mammals,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=25905,Rattus nativitatis,"Bulldog Rat, Christmas Island Burrowing Rat",16-Jul-2000
Mammals that are Extinct,mammals,extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=342,Thylacinus cynocephalus,"Thylacine, Tasmanian Tiger",16-Jul-2000
Other Animals that are Extinct,other,animals_extinct,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83060,Hypolimnus pedderensis,Lake Pedder Earthworm,30-Jun-2009
Fishes that are Extinct in the wild,fishes,extinct_in_the_wild,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26169,Galaxias pedderensis,Pedder Galaxias,06-Jun-2005
Fishes that are Critically Endangered,fishes,critically_endangered,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=76155,Bidyanus bidyanus,"Silver Perch, Bidyan",21-Dec-2013
Fishes that are Critically Endangered,fishes,critically_endangered,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64418,Brachionichthys hirsutus,Spotted Handfish,11-Oct-2012
Fishes that are Critically Endangered,fishes,critically_endangered,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=68751,Carcharias taurus (east coast population),Grey Nurse Shark (east coast population),16-Oct-2001
Fishes that are Critically Endangered,fishes,critically_endangered,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=84745,Galaxias rostratus,"Flathead Galaxias, Beaked Minnow, Flat-headed Galaxias, Flat-headed Jollytail, Flat-headed Minnow",05-May-2016
Fishes that are Critically Endangered,fishes,critically_endangered,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82453,Glyphis glyphis,Speartooth Shark,16-Oct-2001
Fishes that are Critically Endangered,fishes,critically_endangered,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83909,Stiphodon semoni,Opal Cling Goby,16-Feb-2011
Fishes that are Critically Endangered,fishes,critically_endangered,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83756,Thymichthys politus,Red Handfish,11-Oct-2012
Frogs that are Critically Endangered,frogs,critically_endangered,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1815,Cophixalus concinnus,Elegant Frog,04-Jul-2019
Frogs that are Critically Endangered,frogs,critically_endangered,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1789,Cophixalus hosmeri,"Hosmer's Frog, Rattling Nursery-frog",04-Jul-2019
Frogs that are Critically Endangered,frogs,critically_endangered,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1791,Cophixalus mcdonaldi,"McDonald's Frog, Mt Elliot Nursery-frog",04-Jul-2019
Frogs that are Critically Endangered,frogs,critically_endangered,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64384,Cophixalus monticola,Mountain-top Nursery-frog,04-Jul-2019
Frogs that are Critically Endangered,frogs,critically_endangered,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1792,Cophixalus neglectus,"Neglected Frog, Bellenden Ker Nursery-frog",04-Jul-2019
Frogs that are Critically Endangered,frogs,critically_endangered,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26181,Geocrinia alba,"White-bellied Frog, Creek Frog",04-Jul-2019
Frogs that are Critically Endangered,frogs,critically_endangered,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1848,Litoria castanea,"Yellow-spotted Tree Frog, Yellow-spotted Bell Frog",04-Jul-2019
Frogs that are Critically Endangered,frogs,critically_endangered,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87765,Litoria kroombitensis,Kroombit Treefrog,04-Jul-2019
Frogs that are Critically Endangered,frogs,critically_endangered,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1841,Litoria lorica,Armoured Mistfrog,01-Feb-2007
Frogs that are Critically Endangered,frogs,critically_endangered,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82063,Litoria myola,Kuranda Tree Frog,04-Jul-2019
Frogs that are Critically Endangered,frogs,critically_endangered,/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1820,Litoria nyakalensis,"Mountain Mistfrog, Nyakala Frog",01-Feb-2007
